Time,Voltage
2090.176,0.116588
2090.24,0.116595
2090.304,0.116599
2090.368,0.116592
2090.432,0.116593
2090.496,0.116601
2090.56,0.116601
2090.624,0.116592
2090.688,0.116611
2090.752,0.116615
2090.816,0.11662
2090.88,0.11662
2090.944,0.116604
2091.008,0.116594
2091.072,0.116589
2091.136,0.116589
2091.2,0.116578
2091.264,0.116577
2091.328,0.116577
2091.392,0.116596
2091.456,0.116608
2091.52,0.116612
2091.584,0.116605
2091.648,0.116593
2091.712,0.116593
2091.776,0.116604
2091.84,0.116604
2091.904,0.116604
2091.968,0.116606
2092.032,0.116608
2092.096,0.116609
2092.16,0.116608
2092.224,0.11661
2092.288,0.116615
2092.352,0.116616
2092.416,0.116612
2092.48,0.116616
2092.544,0.116612
2092.608,0.116606
2092.672,0.116594
2092.736,0.116597
2092.8,0.116604
2092.864,0.1166
2092.928,0.116597
2092.992,0.116602
2093.056,0.116601
2093.12,0.11659
2093.184,0.11659
2093.248,0.11659
2093.312,0.116584
2093.376,0.116589
2093.44,0.116584
2093.504,0.11657
2093.568,0.116574
2093.632,0.116576
2093.696,0.116574
2093.76,0.116574
2093.824,0.116568
2093.888,0.116567
2093.952,0.116567
2094.016,0.116565
2094.08,0.11656
2094.144,0.116566
2094.208,0.116565
2094.272,0.116567
2094.336,0.116579
2094.4,0.116575
2094.464,0.116572
2094.528,0.11657
2094.592,0.116567
2094.656,0.11656
2094.72,0.116562
2094.784,0.116559
2094.848,0.116557
2094.912,0.116561
2094.976,0.116562
2095.04,0.116565
2095.104,0.116561
2095.168,0.116564
2095.232,0.116567
2095.296,0.116566
2095.36,0.116559
2095.424,0.116556
2095.488,0.116563
2095.552,0.116561
2095.616,0.116562
2095.68,0.116559
2095.744,0.116555
2095.808,0.116551
2095.872,0.116552
2095.936,0.116546
2096,0.116541
2096.064,0.116542
2096.128,0.11654
2096.192,0.116539
2096.256,0.116545
2096.32,0.116544
2096.384,0.116542
2096.448,0.116546
2096.512,0.116535
2096.576,0.116539
2096.64,0.116541
2096.704,0.116544
2096.768,0.116546
2096.832,0.116546
2096.896,0.116545
2096.96,0.116546
2097.024,0.116537
2097.088,0.116536
2097.152,0.116538
2097.216,0.116538
2097.28,0.116539
2097.344,0.116539
2097.408,0.116543
2097.472,0.116547
2097.536,0.116548
2097.6,0.116554
2097.664,0.116544
2097.728,0.116538
2097.792,0.116538
2097.856,0.116543
2097.92,0.116546
2097.984,0.116548
2098.048,0.116551
2098.112,0.116555
2098.176,0.116557
2098.24,0.116566
2098.304,0.116573
2098.368,0.116569
2098.432,0.116569
2098.496,0.116576
2098.56,0.116587
2098.624,0.116596
2098.688,0.116598
2098.752,0.116598
2098.816,0.116608
2098.88,0.116616
2098.944,0.116618
2099.008,0.116617
2099.072,0.116624
2099.136,0.116622
2099.2,0.116619
2099.264,0.116621
2099.328,0.116626
2099.392,0.116623
2099.456,0.116625
